"Sr No","Blood Bank Name",State,District,City,Address,Pincode,Latitude,Longitude
2058,"Karpaga Vinayaga Institute of Medical Sciences Blood Bank","Tamil Nadu",KANCHIPURAM,Maduranthagam,"GST Road, Chinna Kolambakkam, Palayanoor P.O.
Madurantagam Taluk.
",603308,12.5924,79.912
2059,"Government Hospital Tambaram Blood Bank","Tamil Nadu",KANCHIPURAM,Tambaram,"Government Hospital Tambaram, GST Road, Chrompet",600044,12.9456,80.1343
2060,"Saveetha Medical College and Hospital Blood Bank (A unit of Saveetha Institute of Medical and Technical Sciences","Tamil Nadu",KANCHIPURAM,Thandalam,"S.No. 302/1, Mavalur kuppam Village, Saveetha Nagar, Thandalam",602105,0,0
2061,"Deen Dayal Hospital Blood Bank","Tamil Nadu",KANCHIPURAM,Thiruvallur,"No. 61, Deen Dayal Nagar, Kunnavalam Post, Tirupati Road,Thiruvallur Taluk,Tamil Nadu ",631210,13.1775,79.8108
2062,"M/s Marthandam Blood Bank","Tamil Nadu",Kanyakumari,"Kanya Kumari","2/64, AIFB Hospital Building, Junction Main Road, Marthandam",0,0,0
2063,"Sree Mookambika Institute Medical Science Blood Bank","Tamil Nadu",Kanyakumari,Kanyakumari,"14-9C 15, Ist Floor, Medical College Hospital Building, Padanilam, Kulasekaram",629161,8.3611,77.2924
2064,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",Kanyakumari,Kanyakumari,"Padmanabhapuram, Thuckalay, Kanyakumari",629175,8.2477,77.3132
2065,"M/S Indian Medical Centre, Dr Kumarsawamy Health Center","Tamil Nadu",Kanyakumari,Kanyakumari,"Perumal Puram, Kottaram Post",629703,0,0
2066,"Catherine Booth Hospital Blood Bank (Run By The Salvation Army)","Tamil Nadu",Kanyakumari,Nagarcoil,"M/s.  The Salvation Army Catherine Booth Hospital,
Arunachalam Colony, Nagercoil",629001,8.20003,77.4307
2067,"Kanyakumari Medical College Hospital Blood Bank","Tamil Nadu",Kanyakumari,Nagercoil,"KGMCH,  Asaripallam",629003,8.17251,77.3927
2068,"AV Rajan Blood Transfusion Services Clinical and Research Laboratories","Tamil Nadu",Kanyakumari,Nagercoil,"No. 20/6-75 PWD Road, Rajappa Campus, Chettikulam, Nagercoil",629012,0,0
2069,"Royal Blood Bank  (Run by Royal Medical Trust)","Tamil Nadu",Kanyakumari,Nagercoil,"No. 40/2 197 PWD Office Road, Peria Nadar Street, Nagerkoil",629001,0,0
2070,"Kanya Blood Bank","Tamil Nadu",Kanyakumari,Nagercoil,"No.173 A/1, K.P. Road, Ramavarmapuram, Nagercoil",629,8.17554,77.4297
2071,"Vivek Blood Bank","Tamil Nadu",Kanyakumari,Nagercoil," 253, K-11,  K.P. Road, Nagercoil",629003,8.18456,77.4104
2072,"Dr. Jeyasekharan Medical Trust and Nursing Home Blood Bank","Tamil Nadu",Kanyakumari,Nagercoil,"No. 253, KP Road, Nagercoil, Kanyakumari, ",629003,8.18442,77.4099
2073,"Thangam Blood Bank (Run by Thangam Chartiable Community Health Trust) William Hospital","Tamil Nadu",Kanyakumari,Nagercoil,"No 252, II floor, william hospital complex, Krishnan Koil, Nagerkoil",629003,8.19143,77.4233
2074,"Bensam Hospital Blood Bank","Tamil Nadu",Kanyakumari,Nagercoil,"Kalliancaud, NH 66, Nagercoil",629003,8.18968,77.4122
2075,"Lords Blood Bank (Run By Rajamony Memorial Educational Charitable Trust)","Tamil Nadu",Kanyakumari,Nagercoil,"129, Main Road, Opposite to R.C. Church",629003,0,0
2076,"Siventhi Blood Bank (Siventhi Medical Trust)","Tamil Nadu",Kanyakumari,Nagerkoil,"1/1 – 344 -A, M.S. Road,  Nagarkovil",629003,0,0
2077,"Kanyakumari Medical Mission CSI Hospital Blood Bank","Tamil Nadu",Kanyakumari,Neyoor,"CSI Hospital, SH 180,Neyyoor",629802,8.21152,77.303
2078,"Karur Blood Bank","Tamil Nadu",KARUR,Karur,"No. 196/29, Kamarajapuram",639002,10.9637,78.0691
2079,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",KARUR,Karur,"Government Headquarters Hospital, Karur",639001,10.9623,78.0802
2080,"M/S. Rainbow Blood Bank ( Run by rainbow Health &Educational Trust) ","Tamil Nadu",KARUR,Karur,"40 car street, Karur",639001,0,0
2081,"M/s Karur Voluntary Blood Bank and Laboratary","Tamil Nadu",KARUR,Karur,"20 Kamachi Amman Koil Street",639001,0,0
2082,"M/S TCR Blood Bank ( Run by TCR hospital & Charitable Trust)","Tamil Nadu",KRISHNAGIRI," Krishnagiri","TCR Multi Speciality Hospital, No.1/450, Avvai Nagar,Near LIC, Krishnagiri.",635001,12.5186,78.2137
2083,"Government Hospital Blood Bank","Tamil Nadu",KRISHNAGIRI,Hosur,"SH 17, Denkanikotta Road, Hosur, 
",635109,12.7291,77.8255
2084,"Arogya Blood Bank (A Unit of Arogya Seva Hospitals Private Limited)","Tamil Nadu",KRISHNAGIRI,Hosur,"35 Opposite CSI church , Denkanikottai road,
New Temple Land Hudco, Shanthi Nagar East, Hosur",635109,12.7284,77.8244
2085,"Life Care Voluntary Blood Bank (Run by Life Care Trust)","Tamil Nadu",KRISHNAGIRI,Hosur,"Venus Arcade, No.2, Ground Floor and First Floor, Old Telephone Exchange Road, Near Parimalam School, Hosur",635109,0,0
2086,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",KRISHNAGIRI,Krishnagiri,"Gandhi Road, Old pet, Krishnagiri",635001,12.5248,78.22
2087,"Karunya Hospital Blood Bank","Tamil Nadu",KRISHNAGIRI,Krishnagiri,"No.46,  Ist Cross Co-Operative Colony",635001,0,0
2088,"Government Rajaji Hospital Blood Bank","Tamil Nadu",MADURAI,Madurai,"Government Rajaji Hospital, Madurai",625002,9.92699,78.1318
2089,"Meenakshi Mission Hospital and Research Centre Blood Bank","Tamil Nadu",MADURAI,Madurai,"Lake Area, Melur Road, Madurai, Tamil Nadu ",625107,9.9476,78.1623
2090,"Thai Moogambigai Blood Bank and Clinical Laboratory","Tamil Nadu",MADURAI,Madurai,"No. 3 Ground Floor (Northern Side),  Javahar Cross Street,  Gandhi Nagar",625020,0,0
2091,"The Apollo Speciality Hospital Blood Bank","Tamil Nadu",MADURAI,Madurai,"No.14 Deputy Collectors Colony, Lake View Road, K.K. Nagar, Madurai",625020,9.92797,78.1488
2092,"Vadamalayan Hospital Blood Bank","Tamil Nadu",MADURAI,Madurai,"Vadamalayan Hospital, No.9B, PT Rajan Road, Chokkikulam, Reserve Police Line",625002,9.94285,78.1306
2093,"Sivan Blood Bank Run by Lakshmiammal Memorial Trust","Tamil Nadu",MADURAI,Madurai,"Plot No.10, D.No. 58A Kuruvikaran Salai, 1st Cross Street, Aringnar Anna Nagar",625020,9.92329,78.1403
2094,"Velammal Medical College Hospital and Reserach Institute Blood Bank","Tamil Nadu",MADURAI,Madurai,"Velammal Village, Madurai-Tuticorin Ring Road, Anuppanadi
Madurai",625009,9.88709,78.1509
2095,"Satyam Blood Bank","Tamil Nadu",MADURAI,Madurai,"No. 21C Old Kuyavar Palayam Road ",625009,0,0
2096,"Annai Abirami Blood Bank","Tamil Nadu",MADURAI,Madurai,"171/1, Opposite S K G & CO, South Masi Street, Kondaiyanaidu Ln, Periyar, Madurai Main",625001,9.91525,78.1195
2097,"Vignesh Blood Bank","Tamil Nadu",MADURAI,Madurai,"No. 101 Sivaganga Road",625020,0,0
2098,"Madhura Blood Bank","Tamil Nadu",MADURAI,Madurai,"51 A, Harvey Nagar Main Road, Arasaradi",625011,0,0
2099,"Christian Mission Hospital Blood Bank","Tamil Nadu",MADURAI,Madurai,"E Veli St. Old Kuyavar Palayam Salai, Madurai Main, Madurai",625001,9.91595,78.1256
2100,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",MADURAI,Madurai,"Government  Head quarters Hospital, Usilampatti, Madurai ",625532,9.96237,77.7886
2101,"M/S Jeevan Blood Bank","Tamil Nadu",MADURAI,Madurai,"Plot No.363, East 4th Cross street, KK Nagar",625020,0,0
2102,"Government Hospital Blood Bank","Tamil Nadu",NAGAPATTINAM,Mayiladuthurai,"GovernmentHospital, MainRoad, Mayiladuthurai",609001,11.1017,79.6474
2103,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",NAGAPATTINAM,Nagapattinam,"Government Head Quarters Hospital, Nagapattinam",611001,10.7728,79.8439
2104,"Bharath Clinical Laboratory and Blood Bank","Tamil Nadu",NAMAKKAL,Namakkal,"No. 71/13, Trichy Main Road, Namakkal",637001,0,0
2105,"Shharc Charity Blood Bank","Tamil Nadu",NAMAKKAL,Namakkal,"39A, Dr. Shankaram Road, Gandhi Nagar (Near BSNL Office), Namakkal",637001,11.2157,78.1687
2106,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",NAMAKKAL,Namakkal,"Government Head Quarters Hospital, Namakkal",637001,11.2168,78.1689
2107,"Government Hospital Blood Bank","Tamil Nadu",NAMAKKAL,Rasipuram,"Government  Hospital, Rasipuram",637408,11.4611,78.1851
2108,"Government Hospital Blood Bank Thiruchengode","Tamil Nadu",NAMAKKAL,Thiruchengode,"Thiruchengode, Namakkal.",0,0,0
2109,"Vivekanandha Medical Care Hospital Blood Bank","Tamil Nadu",NAMAKKAL,Tiruchengkodu,"SF No.20/1,2, Elayampalayam, Tiruchengodu",637205,0,0
2110,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",PERAMBALUR,Perambalur,"Government  Head Quarters Hospital,Thuraiyur Main Road, Perambalur",621212,11.2366,78.8608
2111,"Muthu Medical Center Blood Bank (Muthu Charitable Trust)","Tamil Nadu",PERAMBALUR,Perambalur,"No.153 Mettu Street  Opposite to Vegetable Market Perambalur, Tamil Nadu",621212,11.2381,78.8649
2112,"Dhanalakshmi Srinivasan Medical College and Hospital Blood Bank","Tamil Nadu",PERAMBALUR,Siruvachur,"1st floor Diagnostic Block, Trichy – Chennai Highways (NH 45) Siruvachur, Perambaulur",621113,11.1987,78.8729
2113,"M/S Kanakesa Thevar Memorial Hospital Blood Bank","Tamil Nadu",PUDUKKOTTAI,Pattukottai,"No 66 Chinnaiah Street, Pattukottai",614601,0,0
2114,"Sree Meenakshi Multi Speciality Hospital Blood Bank (Run by Ayyamperumal and K Dakshinamoorthy Trust)","Tamil Nadu",PUDUKKOTTAI,Pudukkottai,"4215, South 4th Street,Pudukkottai",622001,0,0
2115,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",PUDUKKOTTAI,Pudukkottai,"Government Head Quarters Hospital, Santhanathapuram
Pudukkottai",622001,10.3788,78.8183
2116,"Government Hospital Blood Bank","Tamil Nadu",PUDUKKOTTAI,Pudukkottai,"The Medical Officer,  Taluk Government  Hospital, Aranthangi",616614,10.18,79.0001
2117,"Government Headquarters Hospital Blood Bank","Tamil Nadu",RAMANATHAPURAM,Ramanathapuram,"Government Headquarters Hospital, Ramanathapuram",623501,9.36375,78.8319
2118,"M/S Ramnad Blood Bank( Run by C.Lakshmiammal Memorial Trust)","Tamil Nadu",RAMANATHAPURAM,Ramanathapuram,"No.1/225, &#34;Malligai illam&#34; Mahasakthi Nagar",625503,0,0
2119,"Government Hospital Blood Bank","Tamil Nadu",SALEM,Attur,"Cuddalore Main Road, Attur, Salem District
",636102,11.5969,78.6014
2120,"Annai Blood Bank","Tamil Nadu",SALEM,Attur,"104/1, 1st floor, Sadagopar Street, North Udayarpalayam",636102,0,0
2121,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",SALEM,Metturdam,"Government Head Quarters Hospital, Mettur Dam",636401,11.7958,77.7989
2122,"Government Mohan Kumaramangalam Medical College Hospital Blood Bank","Tamil Nadu",SALEM,Salem,"Super Specialty Block, Steel Plant Main Road, Salem",636001,11.6566,78.1539
2123,"Sri Gokulam Hospital Blood Bank","Tamil Nadu",SALEM,Salem,"No. 3/60, Mayanur Road, Salem",636004,11.6727,78.1338
2124,"Sithi Vinayagar Blood Bank","Tamil Nadu",SALEM,Salem,"No, 1C Vidhyalaya Road, Salem",636007,11.6713,78.1517
2125,"Vinayaga Mission Kirubananda Variar Medical College Hospital Blood Bank","Tamil Nadu",SALEM,Salem,"Sankari Main Road, Chinna Seeragapadi, Salem",636308,11.5854,78.0638
2126,"KSM Blood Bank (Run by Maruti Charitable Trust)","Tamil Nadu",SALEM,Salem,"245/10 , 5th Cross street, Brindavan Road, Fairlands, Salem 
",636016,11.6665,78.1435
2127,"Salem Blood Bank","Tamil Nadu",SALEM,Salem,"Run by SHHARC Charity Trust, 2A 3rd Agraharam,  (Opposite to Kasiwiswanathar Temple), Salem
",636001,11.6591,78.1682
2128,"Kurinji Hospital Blood Bank","Tamil Nadu",SALEM,Salem,"Tee Jay salai, Five Roads, Salem
",636016,11.6772,78.1353
2129,"Maruti Blood Bank","Tamil Nadu",SALEM,Salem,"Door No. 5, 5/1, Srinivasa Complex, (First Floor) Ram Nagar, Meyyanur, Salem",636004,11.6724,78.1362
2130,"Sivaramji Blood Bank (Unit of Janaseva Trust)","Tamil Nadu",SALEM,Salem,"No 266, Omalur main road",636007,0,0
2131,"Salem Steel Authority of India Salem Steel Plant","Tamil Nadu",SALEM,Salem,"Mohan Nagar, Salem",636013,11.6543,78.0252
2132,"Minu Labs and Blood Bank","Tamil Nadu",SALEM,Salem,"7.A/4, Ramakrishna Road, (Rajaji Road)",636007,11.6754,78.1319
2133,"S Palaniyandi Mudaliar Memorial Hospital Blood Bank","Tamil Nadu",SALEM,Salem,"No. 29 Cuddalore Road,  Ammapet, Salem
",636003,11.6612,78.1922
2134,"Sri Shellapha Hospital Blood Bank","Tamil Nadu",SALEM,Salem,"239, Rajaram  Nagar, Near Gandhi Stadium, Salem
",636007,11.6598,78.1549
2135,"M/S SKS Hospital Blood Bank ( Unit of SKS Hospital (I) Private Limited)","Tamil Nadu",SALEM,Salem,"No 50/2, First Floor, Brindavan Road, Alagapuram",636004,0,0
2136,"KaraiKudi Blood Centre (Run by Vivekananda Trust)","Tamil Nadu",SIVAGANGA,KaraiKudi,"1st Floor, No.24/7, Ayyanar Puram 2nd Street",623001,0,0
2137,"Government Sivagangai Medical College Hospital Blood Bank","Tamil Nadu",SIVAGANGA,Sivagangai,"Vanieyankudi, Sivagangai
",630561,9.83888,78.4783
2138,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",SIVAGANGA,Sivagangai,"Government Head Quarters Hospital, Karaikudi, Sivagangai District
",630,10.0639,78.7772
2139,"Sri Kaali Blood Bank","Tamil Nadu",THANJAVUR,Kumbakonam,"No. 165A Gandhi Adigal Salai, Kumbakonam,  Tamil Nadu ",612001,10.9565,79.3749
2140,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",THANJAVUR,Kumbakonam,"Government Head Quarters Hospital, Dr. Moorthy Road, Kumbakonam",612001,10.9692,79.3857
2141,"Government Hospital Blood Bank","Tamil Nadu",THANJAVUR,Pattukkottai,"Palaniappan St.Nadimuthu Nagar, Pattukkottai, ",614601,10.4211,79.3179
2142,"Thanjavur Medical College Hospital Blood Bank","Tamil Nadu",THANJAVUR,Thanjavur,"Thanjavur Medical College Hospital, Thanjavur",613004,10.7586,79.1066
2143,"Sri Kaali Blood Bank","Tamil Nadu",THANJAVUR,Thanjavur,"No. 32 Thirunagar, Thanjavur",613009,10.7851,79.1206
2144,"Voluntary Blood Bank","Tamil Nadu",THANJAVUR,Thanjavur,"No. 2936 West Main Road, Thanjavur",613009,0,0
2145,"KMR Blood Bank (Run by KMR Charitable Trust)","Tamil Nadu",THANJAVUR,Thanjavur,"113A, (First Floor) Arulandha Nagar 7th Cross, Thanjavur",613007,0,0
2146,"Government Raja Mirasudar Hospital","Tamil Nadu",THANJAVUR,Thanjavur,"Government Raja Mirasudar Hospital, Thanjavur",613001,10.7855,79.1366
2147,"Ambigai Blood Bank","Tamil Nadu",THANJAVUR,Thanjavur,"No, 1877/1 West Main Road, Thanjavur",613009,0,0
2148,"Lakshminarayana Blood Bank","Tamil Nadu",THANJAVUR,Thanjavur,"No. 190 ,11 th cross,  Arulananda Ammal Nagar",613007,10.7646,79.1344
2149,"Indian Red Cross Society Blood Bank","Tamil Nadu",THANJAVUR,Thanjavur,"Indian Red Cross Society, 43/C, Al - Seraj Building, Medical College Road",613001,10.7767,79.1291
2150,"Meenakshi Hospital Blood Bank","Tamil Nadu",THANJAVUR,Thanjavur,"SF No.244/2, 3rd Floor, Nilagiri Therkku Thottam Village,  Near New Bus Stand, Trichy Main Road, Tanjore
",613005,10.7454,79.1119
2151,"Government Lawley Hospital Blood Bank","Tamil Nadu","THE NILGIRIS",Coonoor,"Government Lawley Hospital, Coonoor",643102,11.3475,76.7926
2152,"Government Taluk Hospital Blood Bank","Tamil Nadu","THE NILGIRIS",Gudalur,"Government Taluk Hospital, Gudalur",643212,9.67649,77.2406
2153,"Gudalur Adivasi Hospital Blood Bank (Previously named as Ashwini hospital & under Ashwini trust)","Tamil Nadu","THE NILGIRIS",Gudalur,"0/147 G7, Kothervayal, Gudalur, Kothervayal, Ashwini Hospital Road
",643212,11.5022,76.4988
2154,"Government Head Quarters Hospital, Ooty","Tamil Nadu","THE NILGIRIS",Ooty,"Ooty,Nilgiris",0,0,0
2155,"Government Head quarters Hospital","Tamil Nadu","THE NILGIRIS",Udagamandalam,"Government Head quarters Hospital,Udagamandalam",643001,11.408,76.7003
2156,"Military Hospital Blood Bank","Tamil Nadu","THE NILGIRIS",Wellington,"Military Hospital, Wellington",643231,11.3673,76.7826
2157,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",THENI,Periyakulam,"Government Head Quarters Hospital, Thenkarai, Periyakulam",625601,10.123,77.5329
2158,"Government Theni Medical College Hospital Blood Bank","Tamil Nadu",THENI,Theni,"Government  Theni Medical College, Kanavilaku, Madurai Road, Theni",625531,10.0069,77.5532
2159,"Vikram Clinical Blood Bank","Tamil Nadu",THENI,Theni,"No. 409, Periakulam Road, Theni",626531,0,0
2160,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",THIRUVALLUR,Thiruvallur,"Government  Thiruvallur Head Quarters Hospital, JN Road, Thiruvallurï¿½",602001,13.1276,79.911
2161,"Government Medical College and Hospital Blood Bank","Tamil Nadu",THIRUVARUR,Tiruvarur,"The Medical Officer,  Government  Medical College & Hospital, Collectrate Campus, Vilamal, Thiruvarur",610004,10.7791,79.6069
2162,"Sri Venkateswara Hospital Blood Bank","Tamil Nadu",THIRUVARUR,Tiruvarur,"No.16, Kamalayam West Bank, Tiruvarur",610004,0,0
2163,"Government Head Quarters Hospital Blood Bank","Tamil Nadu","Thoothukudi (TUTICORIN)",Kovilpatti,"Government Head Quarters Hospital, Kovilpatti, Thoothukudi",628501,9.17565,77.8742
2164,"Sudiksha Prabhu Hospital Blood Bank and Research Centre","Tamil Nadu","Thoothukudi (TUTICORIN)",Kovilpatti,"59,60, Chokkan Urani Street, AKS Theatre Road
V.O.C. Nagar, Kadershan Koil, Kovilpatti",628501,9.17269,77.8649
2165,"Aarthi Hospital Blood Bank","Tamil Nadu","Thoothukudi (TUTICORIN)",Kovilpatti,"60, Santhaipettai Road, Kovilpatti
",628502,9.17449,77.8664
2166,"Government Thoothukudi Medical College Hospital Blood Bank","Tamil Nadu","Thoothukudi (TUTICORIN)",Thoothukudi,"Palayamkottai Road, Thoothukudi 
",628,8.79806,78.1361
2167,"Tuticorin Blood Bank","Tamil Nadu","Thoothukudi (TUTICORIN)",Tuticorin,"No. 67/70, 1st Floor, North Car Street, Tuticorin",628002,8.80808,78.1467
2168,"Rajesh Tilak Hospital Blood Bank","Tamil Nadu","Thoothukudi (TUTICORIN)",Tuticorin,"Door No 107J/79/53, PC Road, First floor, Rajesh Tilak Hospital Campus, West Millarpuram, Tuticorin",628008,0,0
2169,"M/S Moses Blood Bank","Tamil Nadu","Thoothukudi (TUTICORIN)",Tuticorin,"No, 24 Teppakulam Street",0,0,0
2170,"M/S AVM Hospital Blood Bank","Tamil Nadu","Thoothukudi (TUTICORIN)",Tuticorin,"AVM Marimuthy Nadar Trust AVM associates Private Limited, 
No. 135 Palayamkottai Road, Tuticorin",0,0,0
2171,"Southern Railway Hospital Blood Bank","Tamil Nadu",TIRUCHIRAPPALLI,Tirchy,"Gold Rock, Railway colony",620002,10.7846,78.7253
2172,"Bharath Heavy Electricals Limited Hospital Blood Bank","Tamil Nadu",TIRUCHIRAPPALLI,Tirchy,"BHEL Main Hospital, Bharath Heavy Electricals Limited, Thiruverumbur, Trichy",620014,0,0
2173,"Mahathma Gandhi Memorial Government Hospital Blood Bank","Tamil Nadu",TIRUCHIRAPPALLI,Trichy,"(Attached with KAP Vishwanathan Medical College) Mahathma Gandhi Memorial Government Hospital, EVR Road, Puthur, Trichy",620017,10.8116,78.6775
2174,"KMC Speciality Hospitals Blood Bank ( Kaveri Hospitals)","Tamil Nadu",TIRUCHIRAPPALLI,Trichy,"No. 6 Royal Road, Cantonment, Trichy ",620001,10.8023,78.6801
2175,"Bharath Blood Bank  ","Tamil Nadu",TIRUCHIRAPPALLI,Trichy,"No, 15A Rishi Complex, II Floor,  Main Road, Thillainagar ",620018,10.8192,78.6768
2176,"Friends Blood Bank","Tamil Nadu",TIRUCHIRAPPALLI,Trichy,"No. 7C Williams Road, Contonment ",620001,0,0
2177,"Victory Blood Bank","Tamil Nadu",TIRUCHIRAPPALLI,Trichy,"No.95 Salai Road, Woraiyur, Trichy",620003,0,0
2178,"Doctors Blood Bank and Research Centre ","Tamil Nadu",TIRUCHIRAPPALLI,Trichy,"Doctors Blood Bank and Reseach Centre (Run by DDC Charitable Trust), 123/1, Puthur Main Road, Woraiyur",620003,0,0
2179,"Chennai Medical College Hospital and Research Centre","Tamil Nadu",TIRUCHIRAPPALLI,Trichy,"SRM Medical College, Irungallar, Manachanallur, Trichy",621105,10.9544,78.7549
2180,"Government Headquarters Hospital Blood Bank","Tamil Nadu",TIRUCHIRAPPALLI,Trichy,"Government  Head Quarters Hospital, Viralimalai Road, Manapparai",621306,10.6042,78.4379
2181,"Church of South India Mission General Hospital Blood Bank","Tamil Nadu",TIRUCHIRAPPALLI,Trichy,"Woraiyur, Tiruchirappalli",620003,10.8303,78.6768
2182,"Child Jesus Hospital Blood Bank","Tamil Nadu",TIRUCHIRAPPALLI,Trichy,"Next to All India Radio, Promenade Road, Cantonment, Tiruchirappalli",620001,10.8052,78.6866
2183,"Blood Bank of Shavana","Tamil Nadu",TIRUCHIRAPPALLI,Trichy,"13/333 First floor, Keelpagam Trichy Main Road, Manaparai",0,0,0
2184,"M/S Apollo Speciality Hospitals Blood Bank","Tamil Nadu",TIRUCHIRAPPALLI,Trichy,"2nd floor, Chennai By - Pass Road,  Ariyamangalam,
Old Palpannai ",620010,0,0
2185,"Government Hospital Blood Bank","Tamil Nadu",TIRUNELVELI,Ambasamudram,"Goverment Hospital, Ambasamudram",627401,8.7026,77.386
2186,"Bethel Blood Bank","Tamil Nadu",TIRUNELVELI,Palayamkottai,"No. 17 Thiruchendur  Road, Palayamkottai",627002,0,0
2187,"Government Hospital Blood Bank","Tamil Nadu",TIRUNELVELI,Sankarankovil,"Government Hospital, Katcheri Road, Sankaran Kovil
",627756,9.1673,77.5358
2188,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",TIRUNELVELI,Tenkasi,"Government Head Quarters Hospital, Tenkasi",627811,8.95257,77.3155
2189,"Shifa Hospitals Blood Bank","Tamil Nadu",TIRUNELVELI,Thirunelveli,"No. 82 Kailasapuram Middle Street, IIIrd Floor, Thirunelveli Junction, Thirunelveli",627001,8.72816,77.7101
2190,"Tirunelveli Medical College Hospital Blood Bank","Tamil Nadu",TIRUNELVELI,Tirunelveli,"Tirunelveli Medical College Hospital, Tirunelveli",627011,8.71175,77.7508
2191,"Kartheek Nursing Home Blood Bank","Tamil Nadu",TIRUNELVELI,Tirunelveli,"Complex No. 37 (STC Road) Perumal Puram 7th Street, Thirunelveli",627007,8.70407,77.7386
2192,"Life Line Blood Bank Component and Research Centre ","Tamil Nadu",TIRUNELVELI,Tirunelveli,"Run by Subashtika Charitable Society, 3rd Floor, Sri Sudharsan Hospital, No.4, Salai Street, Vannarpettai",627003,8.72976,77.7196
2193,"Aarthi Hospital and Diagnostic Centre Blood Bank","Tamil Nadu",TIRUNELVELI,Tirunelveli,"No. 177/A-22/2, Trivandrum High Road Vannarapettai, Tirunelveli",627003,8.71605,77.7499
2194,"Galaxy Hospital Blood Bank","Tamil Nadu",TIRUNELVELI,Tirunelveli,"North Bye Pass Road, Vannerpettai, Tirunelveli
",627003,8.73384,77.723
2195,"Sardar Raja Mission Hospital Blood Bank","Tamil Nadu",TIRUNELVELI,Tirunelveli,"Tirurajapuram, Kavalkinaru Junction",627105,0,0
2196,"M/S Annai Blood Bank","Tamil Nadu",TIRUNELVELI,Tirunelveli,"M/S Annai Blood Bank (Run by Annai Medical Trust), No. 67 Pappu Sahib Complex,Melamuthuraman koil Street, Tenkasi",627811,0,0
2197,"Government Hospital Blood Bank","Tamil Nadu",TIRUPPUR,Dharapuram,"Government  Hospital, Park Road, Near Taluk Office, Dharapuram",638656,10.7325,77.5305
2198,"Revathy Medical Centre Blood Bank","Tamil Nadu",TIRUPPUR,Thiruppur,"No 10, CKP Layout 4th Floor, Valayankadu Main Road, Kumar Nagar (West) Avinashi Road, Tiruppur",614603,11.1202,77.3293
2199,"DSK Hospital Blood Bank","Tamil Nadu",TIRUPPUR,Tiruppur,"9 Kathir Nagar, Kangayam Main Road, Kathir Layout Road, Sathyamurthy Nagar, Tiruppur",641604,11.1033,77.3692
2200,"Sri Kumaran Hospital Blood Bank","Tamil Nadu",TIRUPPUR,Tiruppur,"No. 774 A-DPN Road, Near Bus Stand",641,0,0
2201,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",TIRUPPUR,Tiruppur,"Government Head Quarters Hospital, Dharapuram Road, Tiruppur ",641607,11.076,77.369
2202,"Government Hospital Blood Bank","Tamil Nadu",TIRUPPUR,Udumalpet,"Government Hospital, VOC Street, Udumalpet",642126,10.5838,77.2472
2203,"Udumalpet Indian Medical Association Rotary Blood Bank","Tamil Nadu",TIRUPPUR,Udumalpet,"UKP-IMA Building, K.P.N. Nagar Gandhinagar Post, Udumalpet",642154,10.5864,77.255
2204,"Government Medical College Hospital Blood Bank","Tamil Nadu",TIRUVANNAMALAI,Tiruvannamalai,"Government Thiruvannamalai Medical College Hospital, Thiruvannamalai",606603,12.2255,79.0647
2205,"ST Thomas Hospital Blood Bank and Leprosy Centre","Tamil Nadu",TIRUVANNAMALAI,Tiruvannamalai,"Chettupattu, Polur Road, Tiruvannamalai",606801,12.4663,79.336
2206,"Government Medical College Hospital Blood Bank","Tamil Nadu",VELLORE,Adukamparai,"Arni Road, Arani Road, Opposite Staff Quarters, Adukkamparai, Vellore",632011,12.846,79.1358
2207,"Government Hospital Blood Bank","Tamil Nadu",VELLORE,Ambur,"Government Hospital, Nethaji Road, Ambur",635802,12.7867,78.7169
2208,"Bethesda Hospital Blood Bank","Tamil Nadu",VELLORE,Ambur,"Mission Compound, Post Box No 56,  Ambur",635802,12.7781,78.72
2209,"Government Hospital Blood Bank Arakonam","Tamil Nadu",VELLORE,Arakonam,"Arakonam, Vellore",0,0,0
2210,"Government Hospital Blood Bank","Tamil Nadu",VELLORE,Gudiyatham,"Government Hospital, Gudiyatham",632602,12.9453,78.8706
2211,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",VELLORE,Tirupattur,"Government Hospital, Railway Station Road, Achamangalam, Tirupattur",635601,12.4965,78.5657
2212,"Government Hospital Blood Bank","Tamil Nadu",VELLORE,Vaniyambadi,"Government Hospital, Vaniyambadi",635751,12.6766,78.6159
2213,"CMC Hospital Blood Bank","Tamil Nadu",VELLORE,Vellore,"IDA Scudder Road, Vellore, Tamil Nadu ",632004,12.925,79.1361
