"Sr No","Blood Bank Name",Apheresis,"Service Time","Blood Component Available"
1270,"Rotary Blood Bank - Rahuri Charitable Trust",,"24 Hours",NO
1271,"Arpan Blood Bank",,24x7,YES
1272,"Jankalyan Blood Bank Nalegaon",YES,"24 Hours",YES
1273,"Pravara Medical Trust Blood Bank - Pravara Rural Hospital and Medical Dental College Loni (BK)",,"24 Hours",YES
1274,"Jondhale&#39;s Nitya Seva Blood Bank",,24x7,YES
1275,"Shri Sainath Blood Bank",YES,"24 Hours",YES
1276,"Padmashri Dr. Vithalrao Vikhe Patil Foundation, Ahmednagar Medical College Hospital Blood Bank",,"24 Hours",YES
1277,"Shrirampur Blood Bank",,,
1278,"Anand Rushiji Blood Bank",,"24 Hours",YES
1279,"Jeevanraj Charitable Foundation,s Ahmednagar Blood Bank",,"24 Hours",YES
1280,"Nandkishor Education Society - Arpan Blood Bank",YES,"24 Hours",YES
1281,"Poonam Janjagruti Sanstha Sanchit, Ashtavinayak Blood Bank",YES,"24 Hours",YES
1282,"Ahmednagar Municipal Council Blood Bank",,,
1283,"Civil Surgeon General Hospital Blood Bank",,24x7,YES
1284,"District Hospital for Women Blood Bank",NO,24x7,NO
1285,"Dr. Vivek Pimpalkar Blood Bank",NO,24x7,NO
1286,"Shriram Blood Bank",NO,24x7,NO
1287,"Akola Diagnostic Centre Blood Bank and Component Lab",,24x7,YES
1288,"Dr. Mankar Memorial Blood Bank",NO,24x7,NO
1289,"Dr. Hedgewar Blood Bank",,24x7,YES
1290,"ICON Blood Bank - Ganediwal Charitable Trust",,24x7,YES
1291,"Sai Jeewan Blood Bank",,,
1292,"District General Hospital Blood Bank Amravati",YES,"24 Hours",YES
1293,"Shri Balaji Blood Bank & component lab Amravati",YES,24x7,YES
1294,"Dr. P.D.M.H.C. Hospital and Research Centre Blood Bank",YES,24x7,YES
1295,"Sant Gadgebaba Blood Bank and Component Centre Badnera",NO,24x7,YES
1296,"Dr. Late Sadanadaji Burma Memorial Blood Bank",NO,24x7,NO
1297,"Regional Blood Bank Government Medical College and Hospital",,"24 hrs",YES
1298,"Mahatma Gandhi Mishan (MGM) Hospital Blood Bank",YES,24x7,YES
1299,"Dattaji Bhale Blood Bank - Hedgewar Hospital",YES,"24 hrs",YES
1300,"Lokmanya Blood Bank",NO,24x7,YES
1301,"Seth Nandlal Dhoot Hospital Blood Bank",YES,24x7,YES
1302,"Arpan Voluntary (Marathwada)  Blood Bank",NO,24x7,YES
1303,"Amruta Blood Bank",NO,24x7,YES
1304,"Aurangabad Blood Bank",NO,24x7,YES
1305,"Lions Blood Bank",YES,24x7,YES
1306,"Civil Surgeon General Hospital Blood Bank",,24x7,YES
1307,"Swami Ramanand Tirth Arben Medical College Hospital Blood Bank",NO,24x7,YES
1308,"Vaidynath Blood Bank",NO,24x7,NO
1309,"Navjivan Blood Bank",,,
1310,"Arpan Blood Bank Beed",,24x7,YES
1311,"Civil Hospital Bhandara Blood Bank",NO,24x7,NO
1312,"Jeevandhara Buldana Urban Blood Bank",NO,24x7,YES
1313,"Government Hospital Blood Bank",NO,24x7,NO
1314,"Saibai Mote General Hospital Blood Bank",NO,24x7,NO
1315,"Civil Surgeon District General Hospital Blood Bank",,24x7,YES
1316,"Dr. Murlidhar Kharche Memorial Jeevan Jyoti Blood Bank",NO,24x7,NO
1317,"Lilavati Blood Bank",NO,24x7,NO
1318,"Shri. Brahman Swrankar Samaj Trust Blood Bank",,24x7,YES
1319,"General Hospital Blood Bank",NO,24x7,YES
1320,"Ankur Hospital Blood Bank",NO,24x7,YES
1321,"Dr. Ninawe Blood Bank",,24x7,YES
1322,"Christanand Education Society Blood Bank",NO,24x7,NO
1323,"Shahada Blood Bank (Whole Human Blood)",NO,24x7,NO
1324,"Shri Bhausaheb Hire Government Medical College and Hospital Blood Bank",NO,24x7,NO
1325,"Navjeevan Medical Relief & Research Society&#39;s Shree Navjeevan Blood Bank and Component Laboratary",YES,24x7,YES
1326,"Jawahar Medical Foundation Blood Bank",,,
1327,"Jeevan Jyoti Blood Bank",,24x7,YES
1328,"Nirnay Janseva Blood Bank",NO,24x7,YES
1329,"Arpan Blood Bank",,24x7,YES
1330," Late  Shri Mukeshbai Patel Blood Bank ",YES,24x7,YES
1331,"Sub-District Rural Hospital Blood Bank",NO,24x7,NO
1332,"Civil Surgeon - General Hospital Blood Bank",NO,24x7,YES
1333,"Bai Gangabai Ladies Hospital Blood Bank",NO,24x7,NO
1334,"Civil Surgeon - District General Hospital Blood Bank",NO,24x7,YES
1335,"Civil Hospital Blood Bank",,24x7,YES
1336,"Madhavrao Golwalkar Swayamsevi Blood Bank",NO,,YES
1337,"Jeevan Surabhi Blood Bank",,24x7,NO
1338,"Jeevanshri Raktapedi",NO,24x7,NO
1339,"Dhanwantri Blood Bank",YES,24x7,YES
1340,"Godavari Foundation Blood Bank",,24x7,YES
1341,"Indian Red Cross Society Blood Bank",YES,24x7,YES
1342,"M/s. Jalgaon Blood Bank and Component",YES,24x7,YES
1343,"Askaran Tarachand Jain Blood Bank",,24x7,NO
1344,"Civil Surgeon General Hospital Blood Bank",,,
1345,"Jankalyan Blood Bank",,24x7,YES
1346,"Noor Hospital Blood Bank",YES,24x7,YES
1347,"Rajashri Chatrapati Shahu Maharaj Government Medical College and Chatrapati Pramilaraje General Hospital Blood Bank",,24x7,YES
1348,"Late Balasaheb Datye - Lions Blood Bank",,24x7,YES
1349,"Rajarshi Shahu Blood Bank",NO,24x7,YES
1350,"Mahatma Gandhi Hospital Blood Bank",NO,24x7,NO
1351,"Annasaheb Galatge Lions Blood Bank",NO,24x7,YES
1352,"Acharya Shree Tulsi Blood Bank ",NO,24x7,NO
1353,"Dr. D. Y. Patil Hospital Blood Bank",YES,24x7,YES
1354,"Arpan Blood Bank - Blood Component and Apheresis Centre Kolhapur",,24x7,YES
1355,"Sai Seva Medical Foundation - Vaibhavlaxmi Blood Bank",,24x7,YES
1356,"Kolhapur Municipal Corporation Blood Bank",NO,24x7,NO
1357,"Vande Mataram Samajik Samstha&#39;s - Jeevandhara Blood Bank",,24x7,YES
1358,"Sanjeevan Blood Bank",,24x7,YES
1359,"Shri.R.R.Patil Shikashan Sheti sanshodhan Aani vikas sanstha Blood Bank",YES,24x7,YES
1360,"Government Medical College General Hospital Blood Bank",YES,24x7,YES
1361,"IRCS - Dr. Bhalchandra Blood Bank",YES,24x7,YES
1362,"Smt. Saraswati Karad Blood Bank",NO,24x7,YES
1363,"IRCS Nagappa Amberkhane Blood Bank",,24x7,YES
1364,"Arpan Blood Bank Latur",YES,24x7,YES
1365,"Mauli Blood Bank",NO,24x7,YES
1366,"Global Hospital Blood Bank",YES,24x7,YES
1367,ACTREC,NO,7.00-9.30pm,YES
1368,"Deepak Foundation&#39;s Anviksha Blood Bank",,24x7,YES
1369,"Ashirwad Blood Bank",,24x7,YES
1370,"Asian Heart Institute and Research Center",,24x7,YES
1371,"B.S.E.S M.G. Hospital Blood Bank",,24x7,YES
1372,"Bandra Holy Family Hospital Society Blood Bank",,24x7,YES
1373,"Bhabha Atomic Research Centre Hospital Blood Bank",,24x7,NO
1374,"Bhatia General Hospital and Blood Bank",,,
1375,"Bombay Hospital Trust Blood Bank",,24x7,YES
1376,"Borivali Blood Bank (Doshi Memorial Charitable Trust)",,24x7,YES
1377,"Breach Candy Hospital And Research Centre Blood Bank",,24x7,YES
1378,"B. Y. L. Nair Hospital Blood Bank",,24x7,YES
1379,"Cama and Albles Hospital - Abdul Fazalbhoy Blood Bank",,24x7,NO
1380,"Cumbala Hill Hospital And Heart Institute Blood Bank",,24x7,YES
1381,"Dr. Babasaheb Ambedkar Memorial Hospital - Central Railway Hospital Blood Bank",,,
1382,"Dr. L. H. Hiranandani Hospital Blood Bank",,24x7,YES
1383,"ESIC Model Hospital cum ODC Blood Bank",NO,24x7,YES
1384,"Fortis Hospital Blood Bank",YES,24x7,YES
1385,"G. T. Hospital Blood Bank",,"24x7 ",NO
1386,"Hematology Laboratory Blood Bank",,"8.30 am to 4.30pm ; Monday - Friday ;",YES
1387,"Harilal Bhagwati Hospital Blood Bank",,24x7,NO
1388,"Suburban Hi-tech Blood Bank",YES,24x7,YES
1389,"Holy Spirit Hospital Blood Bank",,24x7,YES
1390,"Indian Red Cross Society Bombay City Branch Blood Bank",YES,"7.30am - 10.00pm",YES
1391,"INS - Ashwini Blood Bank",,24x7,YES
1392,"Jaslok Hospital And Research Centre Blood Bank",,24x7,YES
1393,"K. B. Bhabha General Hospital Blood Bank",,24x7,NO
1394,"K. J. Somaiya Medical College and Hospital Blood Bank",,24x7,YES
1395,"Kapoorben Vasanji Lathiya Blood Bank - Nanavati Hospital",NO,24x7,YES
1396,"K. E. M. Hospital Blood Bank",YES,24x7,YES
1397,"Kohinoor Hospital Blood Bank",,24x7,YES
1398,"Kokilaben Dhirubhai Ambani Blood Bank",YES,24x7,YES
1399,"Lilavati Hospital and Research Centre Blood Bank",,24x7,YES
1400,"Lokmanya Tilak Municipal Hospital Blood Bank",YES,24x7,YES
1401,"M. T. Agarwal Municipal General Hospital Blood Bank",,"8.00am - 4.00pm (Sunday&#39;s & Public Holidays closed)",
1402,"Mahatma Gandhi Seva Mandir Blood Bank",YES,24x7,YES
1403,"Manas Serological Institute Blood Bank",,24x7,YES
1404,"Masina Hospital Blood Bank",NO,24x7,YES
1405,"Mumbai Port Trust Blood Bank",,,
1406,"N.  Wadia Maternity  Hospital Blood Bank",,"24 X 7",NO
1407,"Matoshri Valbai Mulji Shah - Arpan Blood Bank",,24x7,YES
1408,"Navjivan Blood Bank and Lab",,24x7,
1409,"P. D. Hinduja National Hospital And Medical Research Centre Blood Bank",YES,24x7,YES
1410,"Meenatai Thackeray Blood Bank - Siddharth Hospital",YES,24x7,YES
1411,"Prince Aly Khan Hospital Blood Bank",YES,24x7,YES
1412,"Dr. R. N. Cooper General Hospital Blood Bank",NO,24x7,NO
1413,"Rajawadi Blood Bank - Seth V. C. Gandhi & M. A. Vora Municipal General Hospital",NO,24x7,NO
1414,"S. L. Raheja Hospital Blood Bank",YES,24x7,YES
1415,"S. R. Mehta and Sir. K.P. Cardiac Institute Blood Bank",YES,24x7,YES
1416,"Saifee Hospital Trust Blood Bank",YES,24x7,YES
1417,"Sarvodaya Hospital Samarpan Blood Bank",YES,24x7,YES
1418,"Seven Hills Health Care Private Limited Hospital Blood Bank",YES,24x7,YES
1419,"Shushrusha Citizens Co-operative Hospital Blood Bank",,24x7,YES
1420,"Sir J.J.Group of Hospital Blood Bank",NO,24x7,NO
1421,"Sir J.J.Mahanagar Rakthapedhi",YES,24x7,YES
1422,"Saint George&#39;s Hospital & Regional  Blood Bank",,24x7,YES
1423,"Tata Memorial Hospital Blood Bank",YES,24x7,YES
1424,"The B.D. Petit Parsee General Hospital Blood Bank",,24x7,YES
1425,"V. N. Desai Municipal General Hospital Blood Bank",NO,"8.00am to 9.00pm (Sunday&#39;s & public holidays closed)",NO
1426,"West Coast Blood Bank",NO,24x7,YES
1427,"M/s. Balasaheb Thackerey Blood Bank",,,
1428,"M/s. Pallavi Blood Bank",,,
1429,"ESI-PGIMSR, MGM Hospital Blood Bank",,,
1430,"M/s Sion Blood Bank",,,
1431,"Harkisandas  Marottamdas Hospital Blood Bank",,,
1432,"Government Medical College Blood Bank Nagpur",NO,24x7,YES
1433,"Super Speciality Hospital and Medical Post Graduate Institute Blood Bank",NO,24x7,NO
1434,"Indira Gandhi Medical College and Hospital Blood Bank",NO,"24 Hours",YES
1435,"Daga Memorial Women Government Hospital Blood Bank",NO,"24 hours",NO
1436,"Central India Institute of Haematology & Oncology&#39;s Blood & Blood Component Bank and Apheresis Unit",YES,"24 hours",YES
1437,"Jeevan Jyoti Blood Bank and Component",YES,24x7,YES
1438,"Dr. Hegdewar Blood Bank",NO,"24 hours",YES
1439,"Sainath Blood Bank",NO,"24 hours",YES
1440,"Ayush Blood Bank and component Lab",NO,"24 hours",YES
1441,"Lifeline Blood Bank Components and Apherisis Centre Blood Bank",YES,"24 hours",YES
1442,"Rainbow Blood Bank",NO,"24 hours",YES
1443,"NKP Salve Institute of Medical Science and Research Center (Lata Mangeshkar Hospital), Blood Bank",NO,24x7,YES
1444,"Nandkishor Education Society Trust - Arpan Voluntary Blood Bank",,,
1445,"Dr. Shankarrao Chavan Government Medical College and Guru Govindsinghji Memorial Hospital Blood Bank",YES,24x7,YES
1446,"Indian Red Cross Society Blood Bank",,24x7,YES
1447,"Golvalkar Guruji Blood Bank",,,
1448,"Arpan Blood Bank",,,
1449,"Guru Gobindsinghji Blood Bank",NO,"24 hours",YES
1450,"Nanded Blood Bank",,24x7,YES
1451,"Hazur Saheb Blood Bank",,24x7,YES
1452,"Civil Surgeon - District General Hospital Blood Bank",NO,24x7,NO
1453,"Sahada Blood Bank - Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha ",NO,24x7,NO
1454,"Jankalyan Rakta Pedhi",NO,24x7,NO
1455,"Malegaon Blood Bank",YES,"24 Hours",YES
1456,"Seva Blood Bank",NO,24x7,YES
1457,"Roachabai Sugnomal Manwani - Cantonment General Hospital Blood Bank",,,
1458,"Metro Blood Bank - District (Civil) Hospital Nashik",,24x7,YES
1459,"Sainik Aspatal Military Hospital Blood Bank",,,
1460,"Ansar Blood Bank",,24x7,NO
1461,"Arpan Blood Bank and Blood Component Laboratory and Research Centre",,24x7,YES
1462,"Jankalyan Blood Bank",YES,24x7,YES
1463,"NDMVPS Medical College and Hospital Blood Bank",,24x7,YES
1464,"Samta Blood Bank",YES,24x7,YES
1465,"Sanjeevani Blood Bank",,24x7,
1466,"Jijau Mahila Sevabhavi Sansthan Nashik Blood Bank and Transfusion Research institute Blood Bank",,,
1467,"The Santajee Educational and Medical foundation Trust - Jeevan  Blood Bank ",,24x7,YES
1468,"SMBT Institute of Medical Science and Research Centre - Blood Bank and Component",,24x7,YES
1469,"Hindustan Aeronautics Limited Blood Bank",,24x7,NO
1470,"J.D.C. Bytco Hospital Blood Bank",NO,,NO
1471,"Regional Referal Hospital Blood Bank",,,
1472,"Shri Krishna Blood Bank",NO,24x7,YES
1473,"Civil Surgeon, General Hospital Blood Bank",YES,24x7,YES
1474,"Civil Surgeon - District General Hospital Blood Bank",,24x7,YES
1475,"Kanthak Sevabhavi Sanstha - New Life Blood  Bank",,24x7,YES
1476,"Indian Red Cross Society Blood Bank",,"24 Hours ",YES
1477,"Pune Chest and General Hospital Blood Bank",NO,"10am to 5pm",NO
1478,"Sasoon Sarvopchar Hospital Blood Bank",NO,"24 hours",YES
1479,"Armed Forces Blood Bank",YES,"10am to 5pm",YES
1480,"Jankalyan Raktapedhi Pune",YES,"24 hours",YES
1481,"Inlaks Budharani Hospital Blood Bank",,"10am to 5pm",YES
1482,"Indian Serological Institute Blood Bank",YES,"24 Hrs",YES
1483,"Acharya Anandrushiji Blood Bank",,"10am to 5pm",YES
1484,"Akshay Blood Bank",,24x7,YES
1485,"Garware Blood Bank - Talegaon Rural Hospital",YES,"10am to 5pm",YES
1486,"Jehangir Hospital Blood Bank",NO,"24 X 7",YES
1487,"KEM Hospital Blood Bank",NO,"10am TO 5pm",YES
1488,"Grant Medical Foundation A.H. Wadia Trust Blood Bank",YES,"08am to 5pm",YES
1489,"Bharati Vidyapeeth Medical Foundation Blood Bank",,"10am to 5pm",YES
1490,"Padmashree Dr. D.Y. Patil (Vishweshwar) Blood Bank",,"10am to 5pm ",YES
1491,"Deenanath Mangeshkar Hospital Blood Bank",,24x7,YES
1492,"Poona Serological Institute Blood Bank",,"10am to 5pm",YES
1493,"Sahiyadari Speciality Hospital Blood Bank",,"10am to 5pm",YES
1494,"Aditya Birla Memorial Hospital Blood Bank",YES,"10am to 5pm",YES
1495,"Rakesh Jain Memorial Blood Bank",,"10am to 5pm",YES
1496,"Noble Hospital Blood Bank",YES,24x7,YES
1497,"Smt Kashibai Navale General Hospital Blood Bank",,"10am to 5pm",YES
1498,"Pimpari Serological Institute Blood Bank",,24x7,YES
1499,"Chakan Blood Bank",,"10am to 5pm",YES
1500,"R.G Gholap Memorial Blood Bank",YES,"24 hrs",YES
1501,"Kranti Mitra Mandal Charitable Trust Blood Bank",,"10am to 5pm",YES
1502,"Krantiveer Chapekar Bandhu Blood Bank",,"10am to 6pm",YES
1503,"The New Century Medical & Education Foundation Trust - NCORD Blood Bank & Aphaeresis Centre",,24x7,YES
1504,"Ekta Apang Vikas Sanstha Blood Bank",,"10am to 6pm",YES
1505,"Chattrapati Shahu Maharaj Pratisthan",,"10 AM TO 5 PM",YES
1506,"Chattrapati Shahu Maharaj Pratisthan Blood Bank",,"10am to 5pm",YES
1507,"M/s. Vidyashree Charitable Trusts Om Blood Bank",,,
1508,"District Civil Surgeon Blood Bank",,"24 hours.",YES
1509,"Kakasaheb Chitle Memorial Centre Sanchalit - Jankalyan Blood Bank",NO,24x7,NO
1510,"M.B. More Foundation Blood Bank",NO,24x7,NO
1511,"Advanced Centre for Treatment Reasearch and Education in Cancer",YES,24x7,YES
1512,"M/s. Navi Mumbai Blood Bank",,24x7,YES
1513,"Shree Sai Blood Bank & Component",,24x7,YES
1514,"Rotary Club New Panvel charitable Trust s Late Dr. B.V. Limaye Blood Bank",YES,24x7,YES
1515,"Civil Surgeon - General Hospital Blood Bank",NO,24x7,YES
1516,"Shree Swami Samarth Blood Bank",NO,24x7,YES
1517,"Indian Red Cross Society Blood Bank",NO,24x7,YES
1518,"Indian Red Cross Blood Bank",YES,,YES
1519,"Prakash Blood Bank & Blood Component Seperation Unit",,24x7,YES
1520,"Padmabhushan Vasantdada Patil Government Hospital Blood Bank",NO,24x7,NO
1521,"Rajaram Bapu Blood Bank",,24x7,YES
1522,"Vasantdada Patil Blood Bank and Haematology Research Centre",NO,24x7,NO
1523,"Miraj Medical Centre - Wanless Hospital Blood Bank",,24x7,YES
1524,"Jeevan Rekha Charitable Trust Blood Bank",NO,24x7,NO
1525,"Smt. Anila Kantilal Kothari Blood Bank & Department of Hemato Oncology",,24x7,YES
1526,"Bharati Vidyapeeth University Medical college And Hospital Blood Bank",,24x7,YES
1527,"Hindratna Prakashbapu Patil Blood Bank",NO,24x7,YES
1528,"Miraj Serological Institute Blood Bank",,24x7,YES
1529,"Akshay Blood Bank",,24x7,YES
1530,"Indian Red Cross Society Blood Bank - Shirgaonkar Blood Bank",YES,24x7,YES
1531,"Shree Basaveshwar Manav Vikas Gramin Sevabhavi Sanstha Blood Bank",,24x7,YES
1532,"Azad Panchi Group Charitable Trust Blood Bank",,24x7,YES
1533,"S. S. Venutai Y. Chavan Sub-District Hospital Blood Bank Karad",NO,24x7,NO
1534,"Civil Surgeon - Sarva Samanya Hospital Blood Bank",NO,24x7,NO
1535,"Phaltan Medical Foundation Blood Bank",NO,24x7,NO
1536,"Krishna Hospital and Medical Research Centre Blood Bank Karad",,24x7,YES
1537,"Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit",YES,24x7,YES
1538,"M/s. K. N. Gujar Blood Bank",,24x7,YES
1539,"M/s. Balaji Blood Bank",YES,24x7,YES
1540,"Akshay Blood Bank",,24x7,YES
1541,"Mauli Blood Bank Satara",NO,24x7,NO
1542,"Yashwantrao Chavan Blood Bank",YES,24x7,YES
1543,"Civil Surgeon - General Hospital Blood Bank",YES,24x7,YES
1544,"Cottage Hospital Blood Bank, Sawantwadi",NO,24x7,NO
1545,"Dean Chatrapati Shivaji Maharaj Sarvopchar Hospital Blood Bank",NO,24x7,NO
1546,"Shri Markendya Charitable and Medical Trust Irrapanna N Boli Blood Bank",YES,24x7,YES
1547,"Dr. Hegdewar Rakta Pedhi Sanstha, Solapur",YES,"24 hours",YES
1548,"Solapur Blood Bank",,,
1549,"IMA - Sahakar Maharshi Shankarrao Mohite Patil Blood Bank",YES,24x7,YES
1550,"Akshay Blood Bank",,,
1551,"M. M. Patel Public Charitable Trust - Ashwini Rural Medical College and Hospital Blood Bank",YES,"24 hour",YES
1552,"Athar Minorities Social and Welfare Associations - Athar Blood Bank",,24x7,YES
1553,"Indian Red Cross Soceity - Shriman Rambhai Shah Blood Bank",YES,24x7,YES
1554,"Indian Red Cross Society - Smt. Gopabai Damani Blood Bank",YES,24x7,YES
1555,"Indian Red Cross Society - Sarjubai Bansila Bajaj Blood Bank",NO,24x7,YES
1556,"SIDDHESHWAR BLOOD BANK",,24X7,YES
1557,"M/s Shrikamal Shikshan Prasarak Krida - Kala & Krushivikas Bahu Uddeshiya Samajsevi Mandals Sanjeevani Blood Bank",,,
1558,"Gor Banjara RSS Jankalyan Samiti - Seva Blood Bank",,,
1559,"Dr. D.Y. Patil Hospital & Research Centre, Blood Bank",,,
1560,"Tarapur Atomic Power Station Hospital Blood Bank",NO,24x7,NO
1561,"Vitthal Sayanna General Hospital (Civil Hospital) Blood Bank",,24x7,YES
1562,"Central Hospital Blood Bank",,24x7,YES
1563,"JVP Blood Bank and Transfusion Centre Blood Bank",,24x7,YES
1564,"Sankalp Blood Bank",,24x7,YES
1565,"Jupiter Hospital Blood Bank",,24x7,YES
1566,"Plasma Diagnostic Lab and Blood Bank",,24x7,YES
1567,"Vaidhya Blood Bank",,24x7,YES
1568,"Mahatma Gandhi Mission Medical College and Hospital Blood Bank",,24x7,YES
1569,"Navjeevan Blood Bank",,24x7,YES
1570,"Sarla Blood Bank",,24x7,YES
1571,"Tssia Blood Bank",,,
1572,"Katiya Charitable Trusts Bhiwandi Blood Bank",,,
1573,"Kai Wamanrao Oak Blood Bank",,24x7,YES
1574,"Blood Line Blood Bank",,24x7,YES
1575,"Kalyan Dombivali Municipal Corporation Sponsored Nandakishore Education Society Arpan Blood Bank",,24x7,YES
1576,"Smt. Devkaabai Kalyanji Chheda Amrutvahini Blood Bank",,,
1577,"Sanjeevan Blood Bank ",,,
1578,"Vijayee Blood Bank",,24x7,
1579,"Mira Bhayandar Municipal Corporation Rajeev Gandhi Blood Bank",,24x7,YES
1580,"Maharashtra Blood Bank, Component and Apheresis Centre",,24x7,YES
1581,"Chidanand Charitable Trust Dombivali Blood Bank",,24x7,YES
1582,"Seva Blood Bank",,,
1583,"Chhatrapati Shivaji Maharaj Hospital Blood Bank",NO,24x7,NO
1584,"Navi Mumbai Municipal Corporation Blood Bank",,24x7,YES
1585,"Lokmanya TSSIA Blood Bank Thane",YES,24x7,YES
1586,"M/s. Sadgurus Charitable Blood Bank",,,
1587,"M/s. Triumph Foundations Triumph Blood Bank",,,
1588,"Terna Blood Bank ",,,
1589,"District - Civil Surgeon, General Hospital Blood Bank Wardha",NO,24x7,YES
1590,"Kasturba Health Society Blood Bank",YES,24x7,YES
1591,"Jawaharlal Nehru Medical College Blood Bank",YES,24x7,YES
1592,"Civil Surgeon, General Hospital Blood Bank Washim",NO,24x7,YES
1593,"Sau Kantadevi Dale Blood Bank",YES,24x7,YES
1594,"Shri Vasantrao Naik Blood Bank ",NO,24x7,NO
1595,"Laxmi Blood Bank",NO,24x7,NO
1596,"Satyashanti Blood Bank",NO,24x7,NO
1597,"Aishwarya Blood Bank",NO,24x7,NO
1598,"Shri Gajanan Blood Bank And Components",NO,24x7,YES
1599,"Ekneel Blood Bank",NO,24x7,YES
1600,"District Hospital Blood Bank ",NO,24x7,NO
1601,"JNIMS Hospital Blood Bank and Transfusion Unit ",NO,24x7,NO
1602,"Model Blood Bank - Department of IHBT",NO,24x7,YES
1603,"Shija Blood Bank and Transfusion Services   ",YES,24x7,YES
1604,"District Hospital Blood Bank and Transfusion Unit",NO,24x7,NO
1605,"Military Hospital Blood Bank",NO,24x7,NO
1606,"Nazareth Hospital Blood Bank ",NO,24x7,NO
1607," Regional Blood Bank, East Khasi Hills - Pasteur Institute",NO,24x7,YES
1608,"North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences Blood Bank",NO,24x7,YES
1609,"Dr. H. Gordon Roberts Hospital Blood Bank",NO,24x7,NO
1610,"Tura Civil Hospital Blood Bank",NO,24x7,NO
1611,"Jowai Civil Hospital Blood Bank   ",NO,24x7,NO
1612,"Civil Hospital Blood Bank Aizawl",NO,24x7,YES
1613,"Synod Hospital Blood Bank Durtlang",NO,24x7,YES
1614,"District Hospital Blood Bank Champhai",NO,24x7,NO
1615,"District Hospital Blood Bank Kolasib",NO,24x7,NO
1616,"District Hospital Blood Bank Lawngtlai",NO,24x7,NO
1617,"Civil Hospital Blood Bank",NO,24x7,NO
1618,"Christian Hospital Blood Bank Serkawn",NO,24x7,NO
1619,"District Hospital Blood Bank Mamit",NO,24x7,NO
1620,"Civil Hospital Blood Bank Saiha",NO,24x7,NO
1621,"J N Hospital Blood Bank,Serchhip",NO,24x7,NO
1622,"District Hospital Blood Bank",NO,"24x7 ",YES
1623,"Military Hospital Blood Bank",NO,"24x7 ",NO
1624,"Christian Institute of Health Sciences and Research Blood Bank",NO,"24x7 ",NO
1625,"Naga Hospital Authority Blood Bank",NO,"24x7 ",NO
1626,"General Hospital Blood Bank",NO,"24x7 ",NO
1627,"Dr. Imkongliba Memorial District Hospital Blood Bank",NO,"24x7 ",NO
1628,"District Hospital Blood Bank",NO,"24x7 ",NO
1629,"District Hospital Blood Bank",NO,"24x7 ",NO
1630,"District Hospital Blood Bank",NO,"24x7 ",NO
1631,"District Hospital Blood Bank",NO,"24X7 ",NO
1632,"District Hospital Blood Bank",NO,"24x7 ",NO
1633,"Odisha Red Cross Blood Bank, Angul",NO,24x7,YES
1634,"Odisha Red Cross Blood Bank, SDH, Athamallik",NO,24x7,NO
1635,"Nalco Hospital Blood Bank",NO,24x7,
1636,"Sub Divisional Hospital Talcher",NO,24x7,NO
1637,"Neheru Satabdi (N.S) Central Hospital Blood Bank",NO,24x7,NO
1638,"Odisha Red Cross Blood Bank, Balangir",NO,24x7,NO
1639,"Biju Padhnaik Red Cross Blood Bank, CHC Kantabanji",,24x7,NO
1640,"Odisha Red Cross Blood Bank, Patnagarh",,24x7,NO
1641,"Odisha Red Cross Blood Bank, SDH, Titlagarh                    ",NO,24x7,NO
1642,"Odisha Red Cross Blood Bank, Balasore",NO,24x7,NO
1643,"Jyoti Hospital Blood Bank",NO,24x7,
1644,"Odisha Red Cross Blood Bank, Nilagiri",NO,24x7,NO
1645,"Odisha Red Cross Blood Bank, Baragarh",NO,24x7,NO
1646,"Catholic Mission Hospital Blood Bank, Bargarh",NO,N/A,
1647,"Odisha Red Cross Blood Bank, SDH, Padampur",NO,24x7,NO
1648,"Odisha Red Cross Blood Bank, Bhadrak ",NO,24x7,NO
1649,"Odisha Red Cross Blood Bank, Boudh ",NO,24x7,NO
1650,"Central Red Cross Blood Bank, Cuttack",NO,24x7,YES
1651,"Shrirama Chandra Bhanj (SCB) Medical College Blood Bank",NO,24x7,YES
1652,"Odisha Red Cross Blood Bank, Deogarh",NO,24x7,NO
1653,"Odisha Red Cross Blood Bank, Dhenkanal",NO,24x7,NO
1654,"Odisha Red Cross Blood, Paralakhemundi",NO,24x7,NO
1655,"Maharaja Krishna Chandra Gajapati Medical College Blood bank",NO,24x7,YES
1656,"Odisha Red Cross Blood Bank, SDH, Bhanjanagar",NO,24x7,NO
1657,"Odisha Red Cross Blood Bank, Jagatsinghpur",NO,24x7,NO
1658,"Odisha Red Cross Blood Bank, Jajpur",NO,24x7,NO
1659,"Odisha Red Cross Blood Bank, CHC Jajpur road",NO,24x7,NO
1660,"Odisha Red Cross Blood Bank, Jharsuguda",NO,24x7,NO
1661,"TRL Hospital, Belpahada",NO,24x7,
1662,"Central Hospital (MCL), Brajaraj Nagar",NO,24x7,
1663,"District Head Quarters Hospital Blood Bank Bhawanipatna",NO,24x7,NO
1664,"Odisha Red Cross Blood Bank, SDH, Dharmagarh",NO,24x7,NO
1665,"Sardar Rajas Medical College Hospital Blood Bank",NO,24x7,
